/home/arise/Desktop/web_design/simulator.py:13: DeprecationWarning: Callback API version 1 is deprecated, update to latest version
  client = mqtt.Client()
🚀 Simulator running — publishing every 5s...

📡 [2026-04-18T02:59:47.015775] Published: {'temperature': 28.36, 'humidity': 58.07, 'co2': 454, 'ch4': 6, 'pressure': 1012, 'light': 850}
📡 [2026-04-18T02:59:52.016469] Published: {'temperature': 28.37, 'humidity': 87.37, 'co2': 916, 'ch4': 15, 'pressure': 1011, 'light': 814}
📡 [2026-04-18T02:59:57.017108] Published: {'temperature': 26.29, 'humidity': 55.27, 'co2': 1051, 'ch4': 2, 'pressure': 998, 'light': 892}
📡 [2026-04-18T03:00:02.017822] Published: {'temperature': 26.43, 'humidity': 81.07, 'co2': 664, 'ch4': 8, 'pressure': 990, 'light': 596}
📡 [2026-04-18T03:00:07.018670] Published: {'temperature': 29.58, 'humidity': 69.46, 'co2': 784, 'ch4': 4, 'pressure': 1025, 'light': 576}
📡 [2026-04-18T03:00:12.019537] Published: {'temperature': 25.6, 'humidity': 87.21, 'co2': 519, 'ch4': 13, 'pressure': 1014, 'light': 751}
📡 [2026-04-18T03:00:17.019889] Published: {'temperature': 25.09, 'humidity': 72.14, 'co2': 768, 'ch4': 5, 'pressure': 1004, 'light': 980}
📡 [2026-04-18T03:00:22.020386] Published: {'temperature': 24.25, 'humidity': 78.39, 'co2': 1088, 'ch4': 15, 'pressure': 994, 'light': 797}
📡 [2026-04-18T03:00:27.021518] Published: {'temperature': 28.31, 'humidity': 67.5, 'co2': 427, 'ch4': 13, 'pressure': 990, 'light': 752}
📡 [2026-04-18T03:00:32.022614] Published: {'temperature': 29.02, 'humidity': 60.22, 'co2': 710, 'ch4': 11, 'pressure': 1010, 'light': 304}
📡 [2026-04-18T03:00:37.023932] Published: {'temperature': 25.51, 'humidity': 67.72, 'co2': 499, 'ch4': 12, 'pressure': 1007, 'light': 284}
📡 [2026-04-18T03:00:42.025207] Published: {'temperature': 26.66, 'humidity': 81.92, 'co2': 388, 'ch4': 12, 'pressure': 1006, 'light': 381}
